id,timestamp,ml_confidence,weight_value,weight_ok,plastico_reciclado_g
1,1763680550.219603,0.75,2500,1,

id,deposit_id,timestamp,resultado
1,,1772576737.5428119,erro_desconhecido
2,,1772576835.7495081,erro_desconhecido
3,,1772576863.457281,erro_desconhecido
4,,1772577595.99844,sucesso
5,,1772577710.708004,sucesso
6,,1772579075.082001,sucesso
7,,1772579945.933205,sucesso
8,,1772580018.635681,sucesso
9,,1772638070.083987,sucesso
10,,1772638104.001955,sucesso
11,,1772638115.83248,sucesso
12,,1772638379.593245,sucesso
13,,1772657939.0975518,sucesso
14,,1772657956.912132,sucesso
15,,1772741986.659393,rejeitado
16,,1772742062.186173,rejeitado
17,,1772742220.520677,rejeitado
18,,1772742257.078621,rejeitado
19,,1772742417.948075,erro_mecanica
20,,1772742484.173339,erro_mecanica
21,,1772742713.469203,erro_mecanica
22,,1772742890.466252,erro_mecanica
23,,1772743197.676671,sucesso
24,,1772743324.562856,erro_mecanica
25,,1772743520.608206,sucesso
26,,1772743868.918782,sucesso
27,,1772743890.343179,sucesso
28,,1772743945.3957582,sucesso
29,,1772747297.2642891,rejeitado
30,,1772747337.382996,rejeitado
31,,1772747483.6255739,rejeitado
32,,1772747731.8076649,rejeitado
33,,1772747752.715094,erro_desconhecido
34,,1772747765.749755,erro_desconhecido
35,,1772747942.4445472,sucesso
36,,1772747949.7028348,sucesso
37,,1772748095.027494,sucesso
38,,1772748312.047186,sucesso
39,,1772748917.7951832,rejeitado
40,,1772748933.1129851,rejeitado
41,,1772749652.8303308,rejeitado
42,,1772749694.05262,sucesso
43,,1772807772.954157,rejeitado
44,,1772807809.755948,sucesso
45,,1772818249.8173451,sucesso
46,,1772818274.1872818,sucesso
47,,1772818417.1510441,sucesso
48,,1772818442.623698,sucesso
49,,1772818742.951335,sucesso
50,,1772818824.253588,sucesso
51,,1772819618.796618,sucesso
52,,1772819650.1914282,sucesso
53,,1772819876.347519,sucesso
54,,1772819911.870721,sucesso
55,,1772820084.801357,sucesso
56,,1772820216.386465,sucesso
57,,1772820271.732383,rejeitado
58,,1772820303.4149609,rejeitado
59,,1772820312.210192,rejeitado
60,,1772820345.363564,rejeitado
61,,1772820354.706273,rejeitado
62,,1772820385.50973,rejeitado
63,,1772820685.802558,rejeitado
64,,1772820757.175935,rejeitado
65,,1772820786.1952949,rejeitado
66,,1772820925.6650171,rejeitado
67,,1772820942.509685,rejeitado
68,,1772821029.3762581,rejeitado
69,,1772821036.516473,rejeitado
70,,1772821055.71661,rejeitado
71,,1772821208.022138,rejeitado
72,,1772821217.942271,rejeitado
73,,1772821600.157505,rejeitado
74,,1772821618.656642,rejeitado
75,,1772821732.83839,sucesso
76,,1772821749.96103,sucesso
77,,1772822081.530747,sucesso
78,,1772822158.530373,sucesso
79,,1772823050.349035,sucesso
80,,1772823067.077777,rejeitado
81,,1772823082.353274,rejeitado
82,,1772823098.1365418,sucesso
83,,1772823109.377258,rejeitado
